gearid,level,mightSucc,mightFail,BaseItem,BaseItemCount,item1,num1,rate1,showRate1,item2,num2,rate2,showRate2,item3,num3,rate3,showRate3,item4,num4,rate4,showRate4
1001001,1,250,25,5101,1,5001,1,5000,2500,5002,1,10000,5000,5003,1,10000,7500,5004,1,10000,10000
1001001,2,500,50,5101,2,5001,1,4630,2500,5002,1,9259,5000,5003,1,10000,7500,5004,1,10000,10000
1001001,3,750,75,5101,3,5001,1,4287,2500,5002,1,8573,5000,5003,1,10000,7500,5004,1,10000,10000
1001001,4,1000,100,5102,1,5001,1,3969,2500,5002,1,7938,5000,5003,1,10000,7500,5004,1,10000,10000
1001001,5,1250,125,5102,2,5001,1,3675,2500,5002,1,7349,5000,5003,1,10000,7500,5004,1,10000,10000
1001001,6,1500,150,5102,3,5001,1,3402,2500,5002,1,6804,5000,5003,1,10000,7500,5004,1,10000,10000
1001001,7,1750,175,5103,1,5001,1,3150,2500,5002,1,6300,5000,5003,1,10000,7500,5004,1,10000,10000
1001001,8,2000,200,5103,2,5001,1,2917,2500,5002,1,5833,5000,5003,1,10000,7500,5004,1,10000,10000
1001001,9,2250,225,5103,3,5001,1,2701,2500,5002,1,5401,5000,5003,1,10000,7500,5004,1,10000,10000
1001001,10,2500,250,5104,4,5001,1,2500,2500,5002,1,5000,5000,5003,1,10000,7500,5004,1,10000,10000
1001001,11,2750,275,5101,1,5001,1,5000,2500,5002,1,10000,5000,5003,1,10000,7500,5004,1,10000,10000
1001001,12,3000,300,5101,2,5001,1,4630,2500,5002,1,9259,5000,5003,1,10000,7500,5004,1,10000,10000
1001001,13,3250,325,5101,3,5001,1,4287,2500,5002,1,8573,5000,5003,1,10000,7500,5004,1,10000,10000
1001001,14,3500,350,5102,1,5001,1,3969,2500,5002,1,7938,5000,5003,1,10000,7500,5004,1,10000,10000
1001001,15,3750,375,5102,2,5001,1,3675,2500,5002,1,7349,5000,5003,1,10000,7500,5004,1,10000,10000
1001001,16,4000,400,5102,3,5001,1,3402,2500,5002,1,6804,5000,5003,1,10000,7500,5004,1,10000,10000
1001001,17,4250,425,5103,1,5001,1,3150,2500,5002,1,6300,5000,5003,1,10000,7500,5004,1,10000,10000
1001001,18,4500,450,5103,2,5001,1,2917,2500,5002,1,5833,5000,5003,1,10000,7500,5004,1,10000,10000
1001001,19,4750,475,5103,3,5001,1,2701,2500,5002,1,5401,5000,5003,1,10000,7500,5004,1,10000,10000
1001001,20,5000,500,5104,4,5001,1,2500,2500,5002,1,5000,5000,5003,1,10000,7500,5004,1,10000,10000
1001002,1,500,50,5101,2,5001,1,3872,2500,5002,1,7743,5000,5003,1,10000,7500,5004,1,10000,10000
1001002,2,1000,100,5101,3,5001,1,3416,2500,5002,1,6831,5000,5003,1,10000,7500,5004,1,10000,10000
1001002,3,1500,150,5101,4,5001,1,3014,2500,5002,1,6027,5000,5003,1,10000,7500,5004,1,10000,10000
